Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
LS174T_colon_adenocarcinoma_BI8622,CL,LS174T cell,LS174T cell,colon epithelial cell,-,colon,large intestine,LS-174T cell,LS-174T cell
ME-1_DMSO_6h,CL,ME-1 cell,immortal myeloblast cell line cell,myeloid cell,myeloid cell,blood,hematopoietic tissue,acute myeloid leukemia cell line,acute myeloid leukemia cell line
HSMM Skeletal Muscle Myoblasts Cells,CL,immortal human skeletal muscle-derived myoblast cell line cell,-,myoblast,myoblast,muscle structure,muscle structure,skeletal muscle cell line,skeletal muscle cell line
GM18486,CL,GM18486 cell,GM18486 cell,B cell,-,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
GLC16,CL,-,-,epithelial cell of lung,pulmonary neuroendocrine cell,lung,lung epithelium,-,small cell lung cancer cell line
hESC,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,embryonic stem cell,embryonic stem cell
CLB-BER-Lud,CL,-,-,neuroblast (sensu Vertebrata),-,nervous system,-,-,Cl-66 cell
NUT,CL,-,Tumor-derived cell line,male germ cell,stratified squamous epithelial cell,testis,-,-,carcinoma cell line
GM18526,CL,GM18526 cell,GM18526 cell,B cell,B-lymphoblast,blood,-,EBV-LCL cell,EBV-LCL cell
IMR90_#2,CL,IMR-90 cell,IMR-90 cell,fibroblast of lung,fibroblast of lung,lung,lung,IMR-90 cell,IMR-90 cell
HFF-Myc,CL,immortal human foreskin-derived fibroblast cell line cell,immortal human foreskin-derived fibroblast cell line cell,foreskin fibroblast,foreskin fibroblast,prepuce of penis,prepuce of penis,foreskin fibroblast cell line,foreskin fibroblast cell line
BT-474_breast_invasive_ductal_carcinoma_EGF,CL,BT-474 cell,BT-474 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,BT-474 cell,BT-474 cell
HUVEC umbilical vein endothelial,CL,HUV-EC-C cell,HUV-EC-C cell,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical cord,HUVEC cell,umbilical vein endothelial cell line
SK-MEL-239,CL,-,-,melanocyte,melanocyte,skin epidermis,skin epidermis,-,-
MCF10CA1a,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
LY4,CL,-,LA-4 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymph node,-,EL-4 cell
MALME-3,CL,Malme-3 cell,GM7373 cell,skin fibroblast,epithelial melanocyte,skin epidermis,skin epidermis,MALME-3 cell,MALME-3 cell
HUES48 Cells,CL,-,HQ00805 cell,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,-,-
GM12873_female_B-cells,CL,GM12873 cell,-,B cell,B-lymphoblast,blood,blood,-,GM-12878 cell
Capan1-untreated,CL,Capan-1 cell,Capan-1 cell,pancreatic ductal cell,pancreatic ductal cell,exocrine pancreas,exocrine pancreas,CAPAN-1 cell,CAPAN-1 cell
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,human embryonic stem cell line cell,human embryonic stem cell line cell,neural progenitor cell,neural progenitor cell,embryo,central nervous system,embryonic stem cell line,embryonic stem cell line
T47D_invasive_ductal_carcinoma_E2,CL,T-47D cell,T-47D cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,T-47D cell,T-47D cell
HUDEP-2_BCL11AKO,CL,-,-,erythroid progenitor cell,erythroid progenitor cell,umbilical cord blood,umbilical cord blood,-,-
MALME3,CL,Malme-3 cell,-,skin fibroblast,melanocyte,skin epidermis,skin epidermis,MALME-3 cell,MALME-3 cell
TTC549_Doxycycline,CL,-,-,-,-,liver,-,-,-
GM12878 ENCODE,CL,GM12878 cell,GM12778 cell,B cell,"lymphocyte of B lineage, CD19-positive",blood,blood,GM-12878 cell,GM-12878 cell
CA-46_Burkitt_lymphoma,CL,CA46 cell,46-5 cell,B cell,B cell,blood,lymph node germinal center dark zone,CA-46 cell,CA-46 cell
LREX,CL,-,-,epithelial cell of prostate,lymphangioblast,prostate gland,-,-,LX-2 cell
C4-2B_vehicle_24h,CL,LNCaP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCAP-C4-2B cell,prostate adenocarcinoma cell line
TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,-,-,myeloid cell,myeloid cell,blood,hematopoietic tissue,-,-
NCR-G1,CL,RCB2341 cell,-,male germ cell,-,testis,-,-,-
MCF-7_10Gygamma_5h,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
22rv1-arvs,CL,22Rv1 cell,22Rv1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,CWR22-Rv1 cell,CWR22-R1 cell
H9_Cell_Line,CL,H9 cell,-,T cell,embryonic stem cell,blood,inner cell mass,H-9 cell,embryonic stem cell line
SF268,CL,SF268 cell,-,astrocyte,-,brain,central nervous system,SF-268 cell,glioblastoma multiforme cell line
IMR-5_Neuroblastoma,CL,IMR-5 cell,-,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),brain,sympathetic nervous system,IMR-5 cell,IMR-5 cell
HUVEC_Notch1kd_IL1beta,CL,HUV-EC-C cell,HUV-EC-C cell,endothelial cell of umbilical vein,endothelial cell of umbilical vein,umbilical cord,umbilical cord,HUVEC cell,umbilical vein endothelial cell line
PFSK-1,CL,PFSK-1 cell,-,fibroblast,neural progenitor cell,brain,central nervous system,primitive neuroectodermal tumor cell line,primitive neuroectodermal tumor cell line
NCI-H2171 cells,CL,NCI-H2171 cell,NCI-H2195 cell,epithelial cell of lung,pulmonary neuroendocrine cell,lung,lung,NCI-H2171 cell,NCI-H2171 cell
TEX-HIST1H3F-K27I-2-Rx_cells,CL,-,-,stem cell,malignant cell,bone marrow,ventral midline,TEX cell,-
CAL51,CL,CAL-51 cell,CAL-51 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,CAL-51 cell,CAL-51 cell
HEK293-FT,CL,293-derived cell,HEK293T cell,kidney epithelial cell,kidney epithelial cell,kidney,kidney rudiment,HEK-293FT cell,HEK-293FT cell
LY1,CL,-,-,B cell,B cell,blood,lymphoid tissue,-,diffuse large B-cell lymphoma cell line
FL16,CL,-,FL 62891 cell,B cell,-,lymph node,-,-,FL-218 cell
mesenchymal stem cell line:Hu5/E18,CL,-,-,mesenchymal cell,mesenchymal cell,mesenchyme,-,-,HUVE-12 cell
carcinoid cell line:NCI-H1770,CL,NCI-H1770 cell,NCI-H1770 cell,pulmonary neuroendocrine cell,pulmonary neuroendocrine cell,lung,bronchus,-,NCI-H2170 cell
MCC26_virus_negative,CL,-,CT26.CL25 cell,Merkel cell,-,skin epidermis,skin epidermis,-,CT26.CL25 cell
HS-SY-2,CL,RCB2231 cell,-,synovial cell,H minus,synovial bursa,-,HS-SY-2 cell,HS-SY-2 cell
LNCaP_prostate_carcinoma_RPMIFBS,CL,LNCAP cell,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,LNCaP cell,LNCaP cell
MCF7L-TamRimmortalized_breast_epithelial_tamoxifen_resistant_cell_line,CL,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7/adr cell,MCF-7/adr cell
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CL,THP-1 cell,THP-1 cell,monocyte,monocyte,blood,blood,THP-1 cell,THP-1 cell
NCI-H2009,CL,NCI-H2009 cell,-,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,NCI-H2009 cell,NCI-H2009 cell
SK-N-BE,CL,immortal neuroblast cell line cell,immortal neuroblast cell line cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),brain,sympathetic nervous system,neuroblastoma cell line,neuroblastoma cell line
GM10861_female_B-cells,CL,GM10861 cell,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,hematopoietic tissue,B-lymphoblastoid cell line,B-lymphoblastoid cell line
HCC70,CL,HCC70 cell,HCC70 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland luminal epithelium,HCC-70 cell,HCC-70 cell
SK-BR-3_breast_adenocarcinoma,CL,SK-BR-3 cell,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,SK-BR-3 cell,SK-BR-3 cell
HEK293_embryonic_kidney,CL,HEK293,HEK293H cell,kidney epithelial cell,kidney epithelial cell,kidney,embryonic tissue,HEK-293 cell,HEK-293 cell
IMS-M2,CL,-,-,myeloid cell,-,blood,-,-,-
22rv1,CL,22Rv1 cell,22Rv1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,CWR22-Rv1 cell,CWR22-R1 cell
MCF10A-ER-Src,CL,MCF10A-Er-Src cell,MCF 10A-derived cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
Kelly_vehicle,CL,KELLY cell,immortal human neuroblast cell line cell,neuroblast (sensu Vertebrata),-,brain,adrenal medulla,KELLY cell,neuroblastoma cell line
Monomac6_CTRL,CL,MONO-MAC-6 cell,MC-6 cell,monocyte,monocyte,blood,hematopoietic system,Mono-Mac-6 cell,Mono-Mac-6 cell
osteosarcoma cell line:HS-Os-1,CL,RCB2229 cell,U-2 OS cell,osteoblast,-,humerus,bone tissue,-,HSC-1 cell
squamous cell carcinoma cell line:EC-GI-10,CL,RCB0774 cell,-,squamous epithelial cell,neoplastic cell,esophagus,esophagus,esophageal squamous cell carcinoma cell,GI-102 cell
MSTO,CL,MSTO-211H cell,-,mesothelial cell,mesothelial cell,mesothelium,mesothelium,MSTO-211H cell,MSTO-211H cell
DMS 144,CL,-,DA00274 cell,epithelial cell of lung,DN4 thymocyte,lung,manual digit 4 mesenchyme,-,-
GM12004,CL,GM12004 cell,-,B cell,B-lymphoblast,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
P493-6_B-cell_lymphoma_SHCTR,CL,-,-,B cell,"lymphocyte of B lineage, CD19-positive",blood,lymphoid tissue,P493-6 cell,P493-6 cell
MCF-7_PMA,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-7 cell,MCF-7 cell
TC71_SA2 KO,CL,TC-71 cell,TC-71 cell,bone cell,malignant cell,bone tissue,bone tissue,TC-71 cell,Ewing's sarcoma family tumor cell line
LM2-4175,CL,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,MDA-MB-231-B02 cell
VCaP_and_LTAD_cells,CL,immortal human prostate epithelium-derived cell line cell,immortal human prostate epithelium-derived cell line cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,prostate adenocarcinoma cell line,prostate adenocarcinoma cell line
MCF_10A,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
HS-ES-2R,CL,RCB2361 cell,ES-2 cell,ovarian surface epithelial cell,ovarian surface epithelial cell,ovary,ovary,ovary cancer cell line,ovary cancer cell line
Jurkat ZBTB1 KO_ZBTB1_expressing FLAG-ZBTB1_Asparagine deprivation,CL,JURKAT cell,Jurkat J6 cell,T cell,lymphocyte,blood,hematopoietic system,JURKAT cell,JURKAT E-6.1 cell
prostate carcinoma epithelial cell line 22Rv1,CL,22Rv1 cell,22Rv1 cell,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,CWR22-Rv1 cell,CWR22-R1 cell
EEB,CL,RCB2345 cell,RCB1483 cell,erythroid lineage cell,-,blood,non-neural ectoderm,-,-
HTOA,CL,RCB0692 cell,H1HeLa cell,serous secreting cell,-,ovary,-,-,hepatoma HLE cell
iPS_20b,CL,human induced pluripotent stem cell line cell,-,pluripotent stem cell,pluripotent stem cell,-,-,pluripotent stem cell,pluripotent stem cell
LX-2_hepatic_stellate_cells_TGFB1,CL,-,L2 cell,hepatic stellate cell,hepatic stellate cell,liver,liver,LX-2 cell,LX-2 cell
GM12878,CL,GM12878 cell,-,B cell,B-lymphoblast,blood,blood,GM-12878 cell,EBV-LCL cell
t47d,CL,T-47D cell,T-47D cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,breast,T-47D cell,breast adenocarcinoma cell line
NCI-H1299_EGFP-NEO_reporter_cells_SAHA,CL,NCI-H1299 cell,-,epithelial cell of lung,malignant cell,lung,lung,NCI-H1299 cell,NCI-H1299 cell
DLD-1_colon_adenocarcinoma,CL,DLD-1 cell,DLD-1 cell,colon epithelial cell,colon epithelial cell,colon,large intestine,DLD-1 cell,DLD-1 cell
GIST-T1_Gastrointestinal_stromal_tumor,CL,-,GI95 cell,neural cell,-,stomach,stomach,-,T1 cell
Colo320,CL,COLO-320 cell,-,colon epithelial cell,colon epithelial cell,colon,colon,Colo-320 cell,colorectal adenocarcinoma cell line
DKO1,CL,-,-,colon epithelial cell,-,colon,-,-,-
CC-LP-1_intrahepatic_cholangiocarcinoma,CL,-,CC-2561 cell,duct epithelial cell,malignant cell,bile duct,bile duct,CCLP-1 cell,CCLP-1 cell
iPSCs,CL,human induced pluripotent stem cell line cell,human induced pluripotent stem cell line cell,pluripotent stem cell,pluripotent stem cell,-,-,hiPSC cell,pluripotent stem cell
MCF10A,CL,MCF 10A cell,MCF 10A cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MCF-10A cell,MCF-10A cell
NCI-H226,CL,NCI-H226 cell,NCI-H226 cell,epithelial cell of lung,epithelial cell of lung,lung,lung epithelium,NCI-H226 cell,NCI-H226 cell
MiaPaca2,CL,MIA PaCa-2 cell,MIA PaCa-2 cell,pancreatic ductal cell,pancreatic ductal cell,pancreas,pancreas,MiaPaCa-2 cell,-
COLO320HSR_DMSO,CL,COLO-320 cell,COLO 320HSR cell,colon epithelial cell,-,colon,colon,Colo-320 cell,Colo-320 cell
T24_2_low,CL,T24 cell,T24 cell,bladder cell,urothelial cell,urinary bladder,urinary bladder,T-24 cell,urinary bladder transitional cell carcinoma cell line
H-EMC-SS,CL,H-EMC-SS cell,H-EMC-SS cell,muscle cell,-,muscle structure,hypochord,-,hTERT-HSC cell
HEL-R,CL,HEL cell,HEL cell,hematopoietic cell,"erythroid progenitor cell, mammalian",blood,hematopoietic tissue,HEL cell,HEL cell
TGBC2TKB,CL,THP-1 cell,-,epithelial cell,gallbladder glandular cell,gallbladder,gallbladder,-,GBC-SD cell
MDA-BoM-1833,CL,-,-,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,MDA-MB-231 cell
HUES64 Cells,CL,-,-,embryonic stem cell,embryonic stem cell,embryo,inner cell mass,-,-
SH-SY5Y_neuroblastoma_OVERMYCN_48H,CL,SH-SY5Y cell,-,neuroblast (sensu Vertebrata),-,bone marrow,sympathetic nervous system,SH-SY5Y cell,SH-SY5Y cell
EndoC-BH1_SE,CL,-,-,type B pancreatic cell,insulin secreting cell,pancreas,islet of Langerhans,-,-
SH-SY5Y_neuroblastoma_OVERMYCN_24H,CL,SH-SY5Y cell,-,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),bone marrow,adrenal medulla,SH-SY5Y cell,SH-SY5Y cell
liposarcoma cell line:SW 872,CL,SW 872 cell,-,adipocyte,-,connective tissue,connective tissue,SW-872 cell,SW-872 cell
U87_EGFRvIII_shFOXG1_FBS,CL,U-87 MG cell,U-87 MG cell,astrocyte,-,brain,central nervous system,U-87MG cell,U-87MG cell
SK-MEL-5,CL,SK-MEL-5 cell,SK-MEL-5 cell,melanocyte,melanocyte,skin epidermis,skin epidermis,SK-MEL-5 cell,SK-MEL-5 cell
Jurkat_WT,CL,JURKAT cell,JURKAT cell,T cell,T cell,blood,hematopoietic system,JURKAT cell,T-lymphoblastic leukemia cell line
GM12868_female_B-cells,CL,GM12868 cell,-,B cell,lymphocyte of B lineage,blood,blood,B-lymphoblastoid cell line,B-lymphoblastoid cell line
THP-1_acute_monocytic_leukemia_CAL,CL,THP-1 cell,THP-1 cell,monocyte,monocyte,blood,blood,THP-1 cell,THP-1 cell
HSSY2 shCt,CL,RCB2231 cell,Tumor-derived cell line,synovial cell,type B synovial cell,synovial bursa,synovial bursa,HS-SY-2 cell,synovial sarcoma cell line
MCF7_Invasive_ductal_breast_carcinoma_PROG,CL,MCF7 cell,MCF7 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,breast,MCF-7 cell,MCF-7 cell
CAMA1 ER+/FGFR1-amplified,CL,CAMA-1 cell,CAMA-1 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,CAMA-1 cell,CAMA-1 cell
PLC\PRF\5,CL,PLC/PRF/5 cell,PLC/PRF/5 cell,hepatocyte,hepatocyte,liver,liver,PLC-PRF-5 cell,PLC-PRF-5 cell
HUVEC_Umbilical_Vein_Endothelial_Cells,CL,HUV-EC-C cell,HUVE-12 cell,endothelial cell of umbilical vein,endothelial cell of venule,umbilical cord,umbilical cord,HUVEC cell,umbilical vein endothelial cell
MV-4-11,CL,MV-4-11 cell,-,macrophage,myeloid cell,blood,blood,MV-4-11 cell,acute myeloid leukemia cell line
U251,CL,U-251 MG cell,U-251 MG cell,glial cell,astrocyte,brain,central nervous system,U-343MG cell,U-343MG cell
COLO-829_melanoma,CL,COLO 829 cell,-,skin fibroblast,melanocyte,skin epidermis,skin epidermis,-,-
HUDEP-2_LRFKO,CL,Erythroleukemic cell line,Erythroleukemic cell line,erythroid progenitor cell,erythroid progenitor cell,umbilical cord blood,umbilical cord blood,umbilical cord cell line,umbilical cord cell line
T_D,CL,-,T-47D cell,T cell,T cell,blood,-,T-lymphocyte,-
LHSAR_prostate_epithelial_cells_HOXB13,CL,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,-,-
SHEP with tetracycline inducible MYC_DOX_2HR,CL,immortal human neuroblast cell line cell,immortal human neuroblast cell line cell,neuroblast (sensu Vertebrata),neuroblast (sensu Vertebrata),nervous system,adrenal medulla,SH-EP cell,neuroblastoma cell line
Ca9-22,CL,RCB1976 cell,-,oral mucosa squamous cell,oral mucosa squamous cell,mouth,gingiva of upper jaw,Ca9-22 cell,Ca9-22 cell
GIST-48B,CL,Tumor-derived cell line,Tumor-derived cell line,neural cell,neoplastic cell,digestive tract,gastrointestinal system epithelium,-,gastrointestinal stromal tumor cell
GICAN,CL,GI-CA-N cell,GM09947 cell,neuroblast (sensu Vertebrata),-,nervous system,-,-,-
UM-RC-6,CL,-,-,kidney cell,renal cortical epithelial cell,kidney,renal cortex tubule,-,SK-RC-6 cell
HCC70_XY018,CL,HCC70 cell,HCC70 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,HCC-70 cell,HCC-70 cell
UO-31,CL,-,-,kidney cell,renal cortical epithelial cell,kidney,kidney,UO-31 cell,UO-31 cell
H3396_breast_carcinoma_ETOH,CL,-,H454 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,-,HO-8910PM
GM19238,CL,GM19238 cell,-,B cell,B-lymphoblast,blood,hematopoietic system,B-lymphoblastoid cell line,B-lymphoblastoid cell line
serous cystadenocarcinoma cell line:HTOA,CL,RCB0692 cell,HH cell,serous secreting cell,ovarian surface epithelial cell,ovary,ovary,-,hepatoma HLE cell
RMS209,CL,-,-,striated muscle cell,-,striated muscle tissue,striated muscle tissue,rhabdomyosarcoma cell,SF-9 cell
RENVM,CL,-,-,neural progenitor cell,neural progenitor cell,brain,-,-,VMM39 cell
GM23338,CL,-,-,pluripotent stem cell,B-lymphoblast,skin epidermis,venous blood,B-lymphoblast cell line,B-lymphoblast cell line
EP156T_primary_prostate_cells,CL,-,-,epithelial cell of prostate,epithelial cell of prostate,prostate gland,prostate gland,-,-
U937_adult_acute_monocytic_leukemia,CL,U-937 cell,DA00447 cell,monocyte,monocyte,blood,bone marrow,U-937 cell,U-937 cell
MDA-MB-453,CL,MDA-MB-453 cell,DA00453 cell,mammary gland epithelial cell,mammary gland epithelial cell,breast,mammary gland,MDA-MB-453 cell,MDA-MB-453 cell
H9_Null,CL,H9 cell,-,T cell,embryonic stem cell,blood,inner cell mass,H-9 cell,H-9 cell
HSKTC,CL,RCB0515 cell,-,ovarian surface epithelial cell,keratinocyte,ovary,skin epidermis,keratinocyte,keratinocyte
